service_date,route,direction,stop_id,events,otp,delay_med
2025-05-12,X24,inbound,41000008NC41,3,0.0,48.3
2025-05-12,X34,outbound,4.1E+11,1,0.0,-7.4
2025-05-12,X34,outbound,41000008NC41,7,0.14285714285714285,-1.5833333333333333
2025-05-12,X40,inbound,077072761A,1,0.0,37.516666666666666
2025-05-12,X47,outbound,4.1E+11,2,0.0,1.5
2025-05-12,X47,outbound,4100008ELDJS,29,0.2413793103448276,-2.75
2025-05-12,X63,outbound,4.1E+11,3,0.3333333333333333,-3.3
2025-05-12,X63,outbound,41000008NC27,26,0.19230769230769232,-3.833333333333333
2025-05-12,X77,outbound,4100008ELDHS,3,0.0,91.08333333333333
2025-05-12,X78,outbound,4100008ELDHS,9,0.0,-7.616666666666666
2025-05-12,X82,outbound,4100008ELDAS,11,0.18181818181818182,-3.5833333333333335
2025-05-12,X87,outbound,4100008ELDHS,5,0.0,-9.55
2025-05-12,X88,outbound,4100008ELDHS,7,0.0,-2.683333333333333
2025-05-13,1,inbound,410000009923,2,0.0,20.708333333333332
2025-05-13,1,outbound,410000008281,2,0.0,49.375
2025-05-13,1,outbound,410000014617,1,0.0,53.25
2025-05-13,22,inbound,410000007049,2,0.0,39.141666666666666
2025-05-13,30,outbound,410000008247,1,0.0,41.95
2025-05-13,31,inbound,410000008384,3,0.0,53.083333333333336
2025-05-13,31,outbound,410000007134,1,0.0,36.65
2025-05-13,31,outbound,410000008247,1,0.0,50.96666666666667
2025-05-13,36,outbound,41000008NC69,3,0.0,13.816666666666666
2025-05-13,38,outbound,410000007134,2,0.0,63.03333333333333
2025-05-13,39,inbound,410000015627,37,0.16216216216216217,-5.483333333333333
2025-05-13,39,outbound,410000007181,39,0.1282051282051282,-4.716666666666667
2025-05-13,39,outbound,410000009007,1,0.0,-6.8
2025-05-13,40,inbound,41000010WALC,40,0.2,-2.85
2025-05-13,40,outbound,410000007141,38,0.3157894736842105,-1.0833333333333333
2025-05-13,62,inbound,410000007042,1,0.0,82.86666666666666
2025-05-13,62,outbound,410000003KLA,2,0.0,88.275
2025-05-13,68,inbound,4100009DSSWB,8,0.75,0.6666666666666666
2025-05-13,68,outbound,4100009FLEGS,9,0.0,-5.9
2025-05-13,681,inbound,410000000204,1,0.0,-30.0
2025-05-13,686,outbound,410000010167,1,0.0,30.466666666666665
2025-05-13,1,inbound,075071120B,1,1.0,2.566666666666667
2025-05-13,1,inbound,075071142A,26,0.34615384615384615,-1.3166666666666667
2025-05-13,1,inbound,078074945B,9,0.1111111111111111,-5.966666666666667
2025-05-13,1,inbound,079073001T,22,0.13636363636363635,-6.233333333333333
2025-05-13,1,inbound,410000009176,1,0.0,-7.7
2025-05-13,1,inbound,410000009923,104,0.15384615384615385,-3.0666666666666664
2025-05-13,1,inbound,410000009953,3,0.0,-12.033333333333333
2025-05-13,1,inbound,41000008NC94,1,0.0,-6.383333333333334
2025-05-13,1,outbound,075071293A,47,0.3404255319148936,-1.9833333333333334
2025-05-13,1,outbound,078074773A,8,0.0,-12.383333333333333
2025-05-13,1,outbound,410000008281,70,0.21428571428571427,-2.2583333333333333
2025-05-13,1,outbound,410000014617,36,0.16666666666666666,-3.4916666666666667
2025-05-13,10,inbound,079073272A,24,0.5,-0.7
2025-05-13,10,inbound,410000008408,38,0.5,2.3833333333333333
2025-05-13,10,inbound,410000024S40,2,0.0,-4.158333333333333
2025-05-13,10,inbound,410000030027,43,0.3953488372093023,4.25
2025-05-13,10,outbound,079073001M,24,0.20833333333333334,-3.9833333333333334
2025-05-13,10,outbound,410000007177,36,0.3055555555555556,-1.7666666666666666
2025-05-13,10,outbound,410000017109,2,0.0,-3.1333333333333333
2025-05-13,10,outbound,410000024371,42,0.2857142857142857,-2.675
2025-05-13,10,outbound,410000024S05,1,0.0,-5.75
2025-05-13,10,outbound,41000042SSIA,27,0.4074074074074074,-1.6666666666666667
2025-05-13,101,inbound,078074055A,3,0.0,-21.45
2025-05-13,101,outbound,079073001C,3,0.0,-11.166666666666666
2025-05-13,105,inbound,410000000023,1,0.0,-21.416666666666668
2025-05-13,11,inbound,410000008408,44,0.3409090909090909,-0.3666666666666667
2025-05-13,11,inbound,410000016178,2,1.0,1.3583333333333332
2025-05-13,11,inbound,410000017173,2,0.0,-1.1916666666666667
2025-05-13,11,inbound,410000024S40,1,1.0,-0.5
2025-05-13,11,inbound,410000030024,42,0.42857142857142855,1.0666666666666667
2025-05-13,11,inbound,41000010JARB,26,0.34615384615384615,-1.975
2025-05-13,11,outbound,410000007142,44,0.25,-2.8833333333333333
2025-05-13,11,outbound,410000024387,44,0.22727272727272727,-1.9
2025-05-13,11,outbound,410000024S05,1,0.0,15.216666666666667
2025-05-13,115,inbound,410000014903,1,0.0,-30.0
2025-05-13,115,outbound,410000007156,1,1.0,2.8333333333333335
2025-05-13,12,inbound,079073245B,53,0.22641509433962265,-2.283333333333333
2025-05-13,12,inbound,410000015543,39,0.28205128205128205,-2.8333333333333335
2025-05-13,12,inbound,410000017196,17,0.5294117647058824,-0.1
2025-05-13,12,inbound,41000010WALC,41,0.24390243902439024,-1.9166666666666667
2025-05-13,12,outbound,079073001N,54,0.2962962962962963,-2.4333333333333336
2025-05-13,12,outbound,079073050A,1,0.0,-16.016666666666666
2025-05-13,12,outbound,410000008446,76,0.3026315789473684,-1.7583333333333333
2025-05-13,12,outbound,41000042SSIP,17,0.35294117647058826,-3.1333333333333333
2025-05-13,13,inbound,077072002R,4,0.75,0.3083333333333333
2025-05-13,13,inbound,077072488A,11,0.45454545454545453,-0.4166666666666667
2025-05-13,13,inbound,410000024S20,2,0.5,-6.5
2025-05-13,13,inbound,410000029206,53,0.16981132075471697,-4.016666666666667
2025-05-13,13,outbound,079073001T,3,0.3333333333333333,-1.4666666666666666
2025-05-13,13,outbound,079073245B,11,0.09090909090909091,-4.3
2025-05-13,13,outbound,410000023816,52,0.36538461538461536,-1.9583333333333335
2025-05-13,13,outbound,410000024S13,1,1.0,-0.8166666666666667
2025-05-13,13B,outbound,079073001M,1,1.0,1.0833333333333333
2025-05-13,14,inbound,079073246A,30,0.26666666666666666,-2.0
2025-05-13,14,outbound,079073001M,28,0.07142857142857142,-3.4416666666666664
2025-05-13,140,outbound,410000008272,1,0.0,-5.8
2025-05-13,146,outbound,410000008078,1,0.0,-1.2166666666666666
2025-05-13,151,inbound,410000009213,1,0.0,7.066666666666666
2025-05-13,151,outbound,410000009065,1,0.0,-7.283333333333333
2025-05-13,16,inbound,07605438,1,0.0,-21.966666666666665
2025-05-13,16,inbound,07605751,6,0.3333333333333333,-1.5
2025-05-13,16,inbound,410000024564,56,0.23214285714285715,-3.2583333333333337
2025-05-13,16,inbound,410000024S05,1,0.0,-16.166666666666668
2025-05-13,16,inbound,410000024S21,1,0.0,-5.05
2025-05-13,16,outbound,07605450,5,0.6,-0.8
2025-05-13,16,outbound,07605675,1,0.0,-30.0
2025-05-13,16,outbound,410000024170,53,0.24528301886792453,-3.6
2025-05-13,16,outbound,410000024229,1,0.0,-11.233333333333333
2025-05-13,16,outbound,410000024S14,2,0.0,-2.4833333333333334
2025-05-13,18,inbound,410000015543,5,0.2,-2.8
2025-05-13,18,inbound,410000015622,20,0.35,-0.825
2025-05-13,18,outbound,410000009380,12,0.3333333333333333,0.033333333333333326
2025-05-13,18,outbound,410000009997,7,0.2857142857142857,10.133333333333333
2025-05-13,18,outbound,410000016234,1,1.0,2.316666666666667
2025-05-13,18,outbound,410000042C02,1,0.0,-2.1333333333333333
2025-05-13,18,outbound,41000042SSIL,44,0.18181818181818182,-3.7416666666666667
2025-05-13,18,outbound,4100009FLEDS,7,0.42857142857142855,-1.9166666666666667
2025-05-13,18A,outbound,410000015B15,1,0.0,-9.916666666666666
2025-05-13,2,inbound,078074945B,8,0.25,-5.058333333333334
2025-05-13,2,outbound,078074773A,8,0.375,2.583333333333333
2025-05-13,2,outbound,078074820A,2,0.5,-13.691666666666666
2025-05-13,20,inbound,410000024549,67,0.5671641791044776,0.8833333333333333
2025-05-13,20,outbound,075071200A,1,1.0,1.15
2025-05-13,20,outbound,075071209A,1,0.0,7.0
2025-05-13,20,outbound,410000024S22,66,0.2878787878787879,-4.583333333333333
2025-05-13,22,inbound,410000007049,71,0.11267605633802817,-8.9
2025-05-13,22,inbound,410000007168,4,0.25,-5.683333333333334
2025-05-13,22,inbound,410000008Q02,1,0.0,-1.0833333333333333
2025-05-13,22,inbound,41000008NC53,1,1.0,3.1333333333333333
2025-05-13,22,outbound,410000009333,4,0.25,-8.058333333333334
2025-05-13,22,outbound,410000010003,6,0.0,-7.175
2025-05-13,22,outbound,410000010341,4,0.5,-0.09166666666666667
2025-05-13,22,outbound,410000010981,66,0.21212121212121213,-2.8333333333333335
2025-05-13,22X,inbound,41000008NC53,3,0.0,-12.366666666666667
2025-05-13,22X,outbound,410000010981,3,0.3333333333333333,1.3333333333333333
2025-05-13,23,inbound,410000024S18,1,0.0,-3.3833333333333333
2025-05-13,23,inbound,410000029116,53,0.3584905660377358,-2.283333333333333
2025-05-13,23,outbound,410000017207,53,0.22641509433962265,-2.8833333333333333
2025-05-13,3,inbound,075071311A,11,0.2727272727272727,1.5666666666666667
2025-05-13,3,inbound,410000024904,2,0.5,-3.341666666666667
2025-05-13,3,inbound,410000024S20,7,0.42857142857142855,-1.9333333333333333
2025-05-13,3,inbound,410000029106,56,0.30357142857142855,-2.05
2025-05-13,3,outbound,075071227A,1,0.0,-7.083333333333333
2025-05-13,3,outbound,075071352B,9,0.2222222222222222,9.316666666666666
2025-05-13,3,outbound,410000023800,53,0.20754716981132076,-3.6333333333333333
2025-05-13,3,outbound,410000042C02,3,0.6666666666666666,1.5833333333333333
2025-05-13,3,outbound,41000042SSIH,51,0.21568627450980393,-5.266666666666667
2025-05-13,30,inbound,410000008393,51,0.29411764705882354,-1.4333333333333333
2025-05-13,30,inbound,410000016105,13,0.46153846153846156,2.55
2025-05-13,30,inbound,410000016926,2,0.0,6.991666666666667
2025-05-13,30,inbound,4100008NC105,1,0.0,-4.133333333333334
2025-05-13,30,outbound,410000007134,36,0.19444444444444445,3.8166666666666664
2025-05-13,30,outbound,410000008171,5,0.6,1.9666666666666666
2025-05-13,30,outbound,410000008247,10,0.6,-0.43333333333333335
2025-05-13,30,outbound,41000042SSIE,15,0.4666666666666667,-0.7
2025-05-13,31,inbound,410000008384,52,0.19230769230769232,-2.4833333333333334
2025-05-13,31,outbound,410000007134,10,0.1,-6.15
2025-05-13,31,outbound,410000008171,3,0.6666666666666666,-0.9
2025-05-13,31,outbound,410000008247,41,0.3902439024390244,1.7833333333333334
2025-05-13,32,inbound,410000008326,9,0.5555555555555556,4.666666666666667
2025-05-13,32,inbound,410000008477,1,0.0,-7.366666666666666
2025-05-13,32,inbound,41000008NC28,1,0.0,-5.0
2025-05-13,32,outbound,410000009949,11,0.7272727272727273,0.7833333333333333
2025-05-13,32A,inbound,410000008326,13,0.5384615384615384,2.683333333333333
2025-05-13,32A,outbound,410000008224,2,0.5,-1.0250000000000001
2025-05-13,32A,outbound,410000009251,11,0.5454545454545454,4.033333333333333
