service_date,route,direction,trips_planned,trips_actual,cancel_rate,otp,delay_med,delay_p90,delay_avg,events
2025-05-12,4,inbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,52.13333333333333,53.70666666666667,49.699999999999996,1970-01-01 00:00:00.000000003+00:00
2025-05-12,4,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,46.66666666666667,48.42666666666667,44.579166666666666,1970-01-01 00:00:00.000000004+00:00
2025-05-12,40,inbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.0,56.68333333333333,65.25,56.607142857142854,1970-01-01 00:00:00.000000007+00:00
2025-05-12,40,outbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,46.68333333333333,61.64,51.84666666666667,1970-01-01 00:00:00.000000005+00:00
2025-05-12,49,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,21.866666666666667,21.866666666666667,21.866666666666667,1970-01-01 00:00:00.000000001+00:00
2025-05-12,516,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,40.56666666666667,40.56666666666667,40.56666666666667,1970-01-01 00:00:00.000000001+00:00
2025-05-12,52,inbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,27.35,33.693333333333335,22.123333333333335,1970-01-01 00:00:00.000000005+00:00
2025-05-12,57,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,12.166666666666666,15.353333333333332,12.166666666666666,1970-01-01 00:00:00.000000002+00:00
2025-05-12,58,outbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,33.15,33.28333333333334,26.583333333333332,1970-01-01 00:00:00.000000003+00:00
2025-05-12,59,inbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,38.18333333333333,40.163333333333334,36.696666666666665,1970-01-01 00:00:00.000000005+00:00
2025-05-12,59,outbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,18.933333333333334,40.92,26.576666666666664,1970-01-01 00:00:00.000000005+00:00
2025-05-12,594,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,67.85,67.85,67.85,1970-01-01 00:00:00.000000001+00:00
2025-05-12,6,inbound,6,1970-01-01 00:00:00.000000006+00:00,0.0,0.0,39.86666666666667,58.541666666666664,41.59444444444444,1970-01-01 00:00:00.000000006+00:00
2025-05-12,6,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,41.06666666666666,58.57000000000001,40.62916666666667,1970-01-01 00:00:00.000000004+00:00
2025-05-12,61,outbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,31.883333333333333,35.47,31.405555555555555,1970-01-01 00:00:00.000000003+00:00
2025-05-12,62,inbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.0,80.85,97.98666666666668,69.81666666666668,1970-01-01 00:00:00.000000007+00:00
2025-05-12,62,outbound,8,1970-01-01 00:00:00.000000008+00:00,0.0,0.0,73.2,87.07833333333333,68.43333333333334,1970-01-01 00:00:00.000000008+00:00
2025-05-12,63,inbound,31,1970-01-01 00:00:00.000000031+00:00,0.0,0.2903225806451613,-2.183333333333333,4.466666666666667,5.102688172043011,1970-01-01 00:00:00.000000031+00:00
2025-05-12,63,outbound,35,1970-01-01 00:00:00.000000035+00:00,0.0,0.2,-5.983333333333333,14.070000000000018,-0.257619047619048,1970-01-01 00:00:00.000000035+00:00
2025-05-12,656,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-22.083333333333332,-22.083333333333332,-22.083333333333332,1970-01-01 00:00:00.000000001+00:00
2025-05-12,665,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-30.0,-30.0,-30.0,1970-01-01 00:00:00.000000001+00:00
2025-05-12,68,inbound,8,1970-01-01 00:00:00.000000008+00:00,0.0,0.875,-0.13333333333333333,1.0633333333333328,0.02291666666666671,1970-01-01 00:00:00.000000008+00:00
2025-05-12,68,outbound,9,1970-01-01 00:00:00.000000009+00:00,0.0,0.0,-8.3,-4.526666666666666,-9.320370370370371,1970-01-01 00:00:00.000000009+00:00
2025-05-12,681,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,45.7,45.7,45.7,1970-01-01 00:00:00.000000001+00:00
2025-05-12,685,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,48.74166666666667,51.54833333333333,48.74166666666667,1970-01-01 00:00:00.000000002+00:00
2025-05-12,686,outbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,13.516666666666667,28.863333333333337,13.516666666666667,1970-01-01 00:00:00.000000002+00:00
2025-05-12,695,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-24.566666666666666,-24.566666666666666,-24.566666666666666,1970-01-01 00:00:00.000000001+00:00
2025-05-12,6B,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,22.9,22.9,22.9,1970-01-01 00:00:00.000000001+00:00
2025-05-12,7,inbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.0,29.3,34.81666666666667,26.71904761904762,1970-01-01 00:00:00.000000007+00:00
2025-05-12,7,outbound,6,1970-01-01 00:00:00.000000006+00:00,0.0,0.0,35.35,58.916666666666664,40.333333333333336,1970-01-01 00:00:00.000000006+00:00
2025-05-12,71,inbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.3333333333333333,9.066666666666666,10.493333333333332,7.105555555555555,1970-01-01 00:00:00.000000003+00:00
2025-05-12,71,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-3.4166666666666665,-3.4166666666666665,-3.4166666666666665,1970-01-01 00:00:00.000000001+00:00
2025-05-12,72,inbound,7,1970-01-01 00:00:00.000000007+00:00,0.0,0.42857142857142855,-0.13333333333333333,4.396666666666671,-0.4452380952380953,1970-01-01 00:00:00.000000007+00:00
2025-05-12,72,outbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,-3.933333333333333,-2.6266666666666665,-3.8466666666666667,1970-01-01 00:00:00.000000005+00:00
2025-05-12,787,inbound,3,1970-01-01 00:00:00.000000003+00:00,0.0,0.0,-7.216666666666667,-7.003333333333334,-7.216666666666666,1970-01-01 00:00:00.000000003+00:00
2025-05-12,787,outbound,4,1970-01-01 00:00:00.000000004+00:00,0.0,0.0,-8.233333333333334,-6.18,-8.733333333333334,1970-01-01 00:00:00.000000004+00:00
2025-05-12,8,inbound,2,1970-01-01 00:00:00.000000002+00:00,0.0,0.0,30.025,32.59166666666667,30.025,1970-01-01 00:00:00.000000002+00:00
2025-05-12,8,outbound,5,1970-01-01 00:00:00.000000005+00:00,0.0,0.0,32.416666666666664,37.21333333333333,31.68333333333333,1970-01-01 00:00:00.000000005+00:00
2025-05-12,804,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,29.316666666666666,29.316666666666666,29.316666666666666,1970-01-01 00:00:00.000000001+00:00
2025-05-12,87,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,33.63333333333333,33.63333333333333,33.63333333333333,1970-01-01 00:00:00.000000001+00:00
2025-05-12,960,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,73.43333333333334,73.43333333333334,73.43333333333334,1970-01-01 00:00:00.000000001+00:00
2025-05-12,991,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-3.45,-3.45,-3.45,1970-01-01 00:00:00.000000001+00:00
2025-05-12,995,inbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,-9.3,-9.3,-9.3,1970-01-01 00:00:00.000000001+00:00
2025-05-12,RP1,outbound,1,1970-01-01 00:00:00.000000001+00:00,0.0,0.0,16.833333333333332,16.833333333333332,16.833333333333332,1970-01-01 00:00:00.000000001+00:00
